roll_number,subject_code,semester,batch_name,marks_obtained,remarks
CS2021001,CS301,3,2021-2025,85,Excellent
CS2021001,CS302,3,2021-2025,72,Good
CS2021001,CS303,3,2021-2025,91,Outstanding
CS2021002,CS301,3,2021-2025,55,Average
CS2021002,CS302,3,2021-2025,38,Needs improvement
CS2021002,CS303,3,2021-2025,67,Good
CS2021003,CS301,3,2021-2025,78,Good
CS2021003,CS302,3,2021-2025,82,Very Good
CS2021003,CS303,3,2021-2025,44,Average
CS2021004,CS301,3,2021-2025,92,Outstanding
CS2021004,CS302,3,2021-2025,88,Excellent
CS2021004,CS303,3,2021-2025,76,Good
